date,Open,High,Low,Close,Volume,Return,Target
2005-01-04,63.8,65.47,62.97,63.94,19585900.0,0.010270184863327536,1
2005-01-05,64.47,65.25,64.05,64.5,12150600.0,0.008758210822646273,1
2005-01-06,64.685,64.91,63.33,64.55,12599200.0,0.0007751937984494806,1
2005-01-07,65.0,69.63,64.75,69.25,39775900.0,0.07281177381874526,1
2005-01-10,69.9,70.7,67.88,68.96,30809100.0,-0.004187725631769057,0
2005-01-11,68.26,69.15,64.14,64.56,46636200.0,-0.06380510440835252,0
2005-01-12,65.35,65.9,63.3,65.46,34280400.0,0.013940520446096505,1
2005-01-13,73.65,74.42,69.73,69.8,56512800.0,0.06630003055300948,1
2005-01-14,70.24,71.72,69.19,70.2,31620400.0,0.005730659025787954,1
2005-01-18,69.74,70.7,69.21,70.65,17972500.0,0.0064102564102563875,1
2005-01-19,70.6,71.46,69.75,69.88,13426700.0,-0.010898796886058215,0
2005-01-20,69.65,71.27,69.47,70.46,16337900.0,0.008299942759015355,1
2005-01-21,71.22,71.6,70.0,70.49,16273800.0,0.0004257734885040332,1
2005-01-24,70.98,71.78,70.55,70.76,15029100.0,0.0038303305433395884,1
2005-01-25,71.41,72.84,70.94,72.05,17307700.0,0.01823063877897102,1
2005-01-26,72.68,72.75,71.22,72.25,13205300.0,0.002775850104094424,1
2005-01-27,72.16,72.92,71.55,72.64,8861200.0,0.005397923875432475,1
2005-01-28,72.62,73.98,72.44,73.98,14314500.0,0.018447136563876754,1
2005-01-31,74.58,77.89,74.51,76.9,30019600.0,0.03947012706136799,1
2005-02-01,77.05,77.77,76.58,77.53,12114200.0,0.008192457737321135,1
2005-02-02,77.9,79.91,77.69,79.63,18215400.0,0.027086289178382517,1
2005-02-03,79.1,79.43,77.33,77.81,13065200.0,-0.02285570764787137,0
2005-02-04,78.09,78.93,77.53,78.84,10063500.0,0.013237373088291982,1
2005-02-07,78.93,79.35,77.5,78.94,9365300.0,0.0012683916793505556,1
2005-02-08,79.07,81.38,78.79,80.9,15893200.0,0.024828984038510304,1
2005-02-09,81.0,81.99,78.1,78.74,21276000.0,-0.02669962917181723,0
2005-02-10,78.72,79.28,76.66,78.36,19518200.0,-0.004826009652019292,0
2005-02-11,79.86,81.76,78.94,81.21,21447400.0,0.036370597243491565,1
2005-02-14,83.16,84.79,82.05,84.63,22704700.0,0.042113040265977064,1
2005-02-15,86.66,89.08,86.0,88.41,41289600.0,0.04466501240694787,1
2005-02-16,88.15,90.2,87.35,90.13,29272200.0,0.019454812803981536,1
2005-02-17,90.65,90.88,87.45,87.81,27115600.0,-0.025740596915566294,0
2005-02-18,87.74,87.86,86.25,86.81,20772400.0,-0.011388224575788586,0
2005-02-22,86.3,88.3,85.29,85.29,21773100.0,-0.017509503513420066,0
2005-02-23,86.69,88.45,85.55,88.23,24021100.0,0.03447062961660219,1
2005-02-24,88.48,89.31,87.73,88.93,27125500.0,0.007933809361895028,1
2005-02-25,89.62,89.91,88.19,88.99,16348400.0,0.0006746879568197972,1
2005-02-28,44.68,45.14,43.96,44.86,11635900.0,-0.4958984155523092,0
2005-03-01,44.99,45.11,44.16,44.5,16721000.0,-0.00802496656263929,0
2005-03-02,44.25,44.89,44.08,44.121,16362900.0,-0.008516853932584167,0
2005-03-03,44.34,44.41,41.22,41.79,50416200.0,-0.052831984769157625,0
2005-03-04,42.76,43.01,41.85,42.81,27022100.0,0.024407753050969205,1
2005-03-07,42.8,43.25,42.35,42.75,16094000.0,-0.0014015416958654825,0
2005-03-08,41.9,42.16,40.1,40.53,36480400.0,-0.05192982456140349,0
